id,Area,BHK,Bathroom,Furnishing,Locality,Place,Parking,Price,Status,Transaction,Type,Per_Sqft
1,8000,4,5,Semi-Furnished,Lajpat Nagar,Lajpat,1,240000000,Ready_to_move,New_Property,Builder_Floor,22000
2,8000,4,5,Semi-Furnished,Lajpat Nagar,Lajpat,1,240000000,Ready_to_move,New_Property,Builder_Floor,20000
3,6000,5,5,Semi-Furnished,"Maharani Bagh, New Friends Colony",New Friends Colony,9,220000000,Ready_to_move,New_Property,Builder_Floor,120000
4,6500,4,5,Unfurnished,"Mayfair garden, Hauz Khas",Hauz Khas,3,190000000,Ready_to_move,New_Property,Builder_Floor,170000
5,6000,5,5,Semi-Furnished,"Hauz Khas Apartment, Hauz Khas Enclave, Hauz Khas",Hauz Khas,3,180000000,Ready_to_move,New_Property,Apartment,30000
6,5025,5,6,Unfurnished,Greater Kailash 2,kailash,4,170000000,Almost_ready,New_Property,Builder_Floor,22222
7,8150,4,5,Unfurnished,"Maharani Bagh, New Friends Colony",New Friends Colony,4,170000000,Ready_to_move,New_Property,Builder_Floor,15459
8,10350,4,7,Semi-Furnished,"Maharani Bagh, New Friends Colony",New Friends Colony,3,160000000,Ready_to_move,New_Property,Apartment,15459
9,5500,6,7,Furnished,Safdarjung Enclave,Safdarjung Enclave,1,160000000,Ready_to_move,Resale,Apartment,14818
10,4200,5,5,Semi-Furnished,"Friends Colony East, New Friends Colony",New Friends Colony,2,135500000,Ready_to_move,New_Property,Builder_Floor,15459
11,4350,4,6,Semi-Furnished,"Orchid Metropolis, Hauz Khas",Hauz Khas,2,135000000,Ready_to_move,New_Property,Apartment,170000
12,4688,5,4,Unfurnished,"The Leela Sky Villas, Patel Nagar",Patel Nagar,1,135000000,Almost_ready,New_Property,Apartment,28797
13,7200,4,4,Semi-Furnished,"Maharani Bagh, New Friends Colony",New Friends Colony,2,120000000,Ready_to_move,Resale,Builder_Floor,16667
14,4455,5,5,Semi-Furnished,Punjabi Bagh West,Punjabi Bhag,1,115000000,Almost_ready,New_Property,Builder_Floor,11905
15,5400,4,4,Unfurnished,"Hauz Khas Enclave, Hauz Khas",Hauz Khas,2,110000000,Ready_to_move,Resale,Builder_Floor,17677
16,2300,4,4,Semi-Furnished,Hauz Khas,Hauz Khas,1,102500000,Ready_to_move,New_Property,Builder_Floor,17677
17,2250,4,4,Unfurnished,"Hauz Khas Enclave, Hauz Khas",Hauz Khas,3,100000000,Ready_to_move,New_Property,Builder_Floor,18055
18,2700,4,4,Semi-Furnished,"Hauz Khas Enclave, Hauz Khas",Hauz Khas,2,100000000,Ready_to_move,New_Property,Builder_Floor,37037
19,2316,3,4,Furnished,"Geetanjali Enclave, Malviya Nagar",Malviya Nagar,1,100000000,Ready_to_move,Resale,Builder_Floor,14888
20,3901,4,4,Unfurnished,"The Leela Sky Villas, Patel Nagar",Patel Nagar,1,93000000,Almost_ready,New_Property,Apartment,23840
21,3500,4,4,Unfurnished,New Friends Colony,New Friends Colony,2,90000000,Ready_to_move,Resale,Builder_Floor,15459
22,1800,4,4,Semi-Furnished,Safdarjung Enclave,Safdarjung Enclave,2,87500000,Ready_to_move,New_Property,Builder_Floor,25000
23,3500,4,4,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,3,85000000,Ready_to_move,New_Property,Builder_Floor,20000
24,4500,4,5,Semi-Furnished,"Hauz Khas Enclave, Hauz Khas",Hauz Khas,2,85000000,Ready_to_move,New_Property,Builder_Floor,170000
25,4800,3,4,Semi-Furnished,"Maharani Bagh, New Friends Colony",New Friends Colony,1,85000000,Ready_to_move,Resale,Builder_Floor,15459
26,4150,4,4,Unfurnished,Safdarjung Enclave,Safdarjung Enclave,3,82500000,Ready_to_move,New_Property,Builder_Floor,14818
27,2250,4,4,Semi-Furnished,Safdarjung Enclave,Safdarjung Enclave,3,80000000,Ready_to_move,New_Property,Builder_Floor,14818
28,2500,4,4,Semi-Furnished,Punjabi Bagh West,Punjabi Bhag,2,80000000,Ready_to_move,New_Property,Builder_Floor,11905
29,1800,4,4,Semi-Furnished,Hauz Khas,Hauz Khas,2,80000000,Ready_to_move,New_Property,Builder_Floor,30000
30,3690,4,5,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,3,79000000,Almost_ready,New_Property,Builder_Floor,21409
31,3500,4,4,Furnished,Punjabi Bagh West,Punjabi Bhag,3,75100000,Ready_to_move,New_Property,Builder_Floor,9909
32,3000,4,5,Semi-Furnished,Saket,saket,4,75000000,Ready_to_move,New_Property,Builder_Floor,28846
33,3000,4,5,Semi-Furnished,"Metrotech Builder Floors, Saket",saket,3,75000000,Ready_to_move,New_Property,Builder_Floor,28846
34,2600,4,4,Semi-Furnished,Saket,saket,3,75000000,Ready_to_move,New_Property,Builder_Floor,28846
35,2800,4,5,Semi-Furnished,New Friends Colony,New Friends Colony,2,75000000,Ready_to_move,New_Property,Builder_Floor,23529
36,2750,4,5,Unfurnished,"Geetanjali Enclave, Malviya Nagar",Malviya Nagar,2,75000000,Almost_ready,New_Property,Builder_Floor,
37,4500,4,4,Semi-Furnished,New Friends Colony,New Friends Colony,2,75000000,Ready_to_move,New_Property,Builder_Floor,120000
38,2650,4,4,Unfurnished,"Kailash Colony, Greater Kailash",kailash,2,75000000,Ready_to_move,New_Property,Builder_Floor,
39,2500,4,4,Semi-Furnished,"Sukhdev Vihar, Okhla",okhla,2,75000000,Ready_to_move,Resale,Builder_Floor,30000
40,3000,4,5,Semi-Furnished,"Geetanjali Enclave, Malviya Nagar",Malviya Nagar,4,74500000,Ready_to_move,New_Property,Builder_Floor,
41,4200,4,5,Semi-Furnished,Safdarjung Enclave,Safdarjung Enclave,3,74000000,Ready_to_move,New_Property,Builder_Floor,14818
42,5236,5,7,Unfurnished,"The Amaryllis, Karol Bagh",karol bagh,3,73700000,Almost_ready,New_Property,Apartment,14092
43,4500,4,5,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,2,72500000,Ready_to_move,Resale,Builder_Floor,20930
44,4000,4,4,Semi-Furnished,Safdarjung Enclave,Safdarjung Enclave,1,72500000,Ready_to_move,Resale,Builder_Floor,14818
45,3405,5,4,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,3,71500000,Ready_to_move,Resale,Apartment,20999
46,2050,3,3,Semi-Furnished,"Hauz Khas Enclave, Hauz Khas",Hauz Khas,2,71000000,Ready_to_move,New_Property,Builder_Floor,30000
47,3405,5,5,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,3,70000000,Ready_to_move,Resale,Apartment,20558
48,3400,5,5,Semi-Furnished,"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",Common wealth games,3,70000000,Ready_to_move,New_Property,Apartment,20588
49,2800,4,5,Semi-Furnished,Hauz Khas,Hauz Khas,3,70000000,Ready_to_move,New_Property,Builder_Floor,25000
50,2000,4,4,Semi-Furnished,New Friends Colony,New Friends Colony,3,70000000,Ready_to_move,New_Property,Builder_Floor,15459
51,2450,4,4,Furnished,"Friends Colony West, New Friends Colony",New Friends Colony,2,70000000,Ready_to_move,New_Property,Builder_Floor,120000
52,4500,4,4,Semi-Furnished,New Friends Colony,New Friends Colony,2,70000000,Ready_to_move,Resale,Builder_Floor,23529
53,4500,4,4,Semi-Furnished,Hauz Khas,Hauz Khas,2,70000000,Ready_to_move,New_Property,Builder_Floor,30000
54,3500,5,5,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,1,70000000,Ready_to_move,New_Property,Builder_Floor,20000
55,2400,4,4,Semi-Furnished,"Find Homes, Greater Kailash 2",kailash,1,70000000,Ready_to_move,New_Property,Apartment,2235
56,4500,4,4,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,1,70000000,Ready_to_move,New_Property,Builder_Floor,20833
57,2475,3,3,Furnished,"Yamuna Vihar, Shahdara",shahdara,1,70000000,Ready_to_move,Resale,Builder_Floor,28283
58,2518.7526,4,5,Unfurnished,"Godrej South Estate, Okhla Phase 1",okhla,2,68900000,Almost_ready,New_Property,Apartment,10320
59,3000,4,4,Unfurnished,"Geetanjali Enclave Project, Geetanjali Enclave, Malviya Nagar",Malviya Nagar,2,67000000,Ready_to_move,New_Property,Builder_Floor,14888
60,2799,4,4,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,0,65000000,Ready_to_move,New_Property,Builder_Floor,
61,3000,4,5,Semi-Furnished,"Kailash Colony, Greater Kailash",kailash,4,65000000,Ready_to_move,New_Property,Builder_Floor,20930
62,3050,5,5,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,3,65000000,Ready_to_move,New_Property,Apartment,21311
63,3100,5,5,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,3,65000000,Ready_to_move,Resale,Apartment,20967
64,2200,4,5,Semi-Furnished,"Geetanjali Enclave, Malviya Nagar",Malviya Nagar,2,65000000,Ready_to_move,New_Property,Builder_Floor,7200
65,5220,5,5,Unfurnished,Punjabi Bagh West,Punjabi Bhag,2,65000000,Ready_to_move,Resale,Builder_Floor,11905
66,1800,4,4,Semi-Furnished,New Friends Colony,New Friends Colony,2,65000000,Ready_to_move,New_Property,Builder_Floor,120000
67,2035,4,4,Unfurnished,Safdarjung Enclave,Safdarjung Enclave,2,65000000,Ready_to_move,New_Property,Builder_Floor,14818
68,3600,4,4,Semi-Furnished,"Safdarjung Development Area, Hauz Khas",Safdarjung Enclave,2,65000000,Almost_ready,New_Property,Builder_Floor,18055
69,2400,4,5,Unfurnished,"Hauz Khas Enclave, Hauz Khas",Hauz Khas,1,65000000,Ready_to_move,Resale,Builder_Floor,25000
70,2160,3,3,Furnished,"Yamuna Vihar, Shahdara",shahdara,1,65000000,Ready_to_move,Resale,Builder_Floor,30093
71,1800,3,4,Semi-Furnished,Chhattarpur,Chhattarpur,2,63000000,Almost_ready,New_Property,Apartment,
72,3050,5,6,Semi-Furnished,Commonwealth Games Village 2010,Common wealth games,0,62500000,Ready_to_move,Resale,Apartment,20492
73,2600,4,5,Semi-Furnished,Chittaranjan Park,Chittarajan,3,62500000,Ready_to_move,New_Property,Builder_Floor,20938
74,2050,4,4,Semi-Furnished,"Geetanjali Enclave, Malviya Nagar",Malviya Nagar,2,62500000,Ready_to_move,New_Property,Builder_Floor,
75,2500,4,5,Unfurnished,"Geetanjali Enclave, Malviya Nagar",Malviya Nagar,1,62500000,Ready_to_move,New_Property,Builder_Floor,7200
76,3150,4,5,Semi-Furnished,"Sukhdev Vihar, Okhla",okhla,3,61500000,Ready_to_move,New_Property,Builder_Floor,5556
77,3112,5,6,Semi-Furnished,Commonwealth Games Village 2010,Common wealth games,3,60000000,Ready_to_move,Resale,Apartment,19280
78,3600,4,4,Semi-Furnished,"Geetanjali Enclave, Malviya Nagar",Malviya Nagar,3,60000000,Ready_to_move,New_Property,Builder_Floor,
79,2625,4,5,Semi-Furnished,Chittaranjan Park,Chittarajan,2,60000000,Ready_to_move,New_Property,Builder_Floor,6878
80,4500,4,4,Semi-Furnished,New Friends Colony,New Friends Colony,2,60000000,Ready_to_move,New_Property,Builder_Floor,120000
81,4300,4,4,Unfurnished,"New Friends Colony carpet area 4300 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Unfurnished facing North - East overlooking Garden/Park, Main Road car parking 2 Covered, 2 Open bathroom 4 balcony 3 ownership Freehold hurry up... dont waste time any where, It is best deal in your pocket budget.well maintained second floor with terrace garden plus 2 additional room on terrace up for sale in new friends colony.the property has 4 king sized bedroom attached bathroom with roof top shower with Jacuzzi. It has 3 big balconies with wonderful outer view. It has modular kitchen with new fittings. It has servant quarter pooja room study room store room etc. It has drawing & dining. It has 2 car parking with gated society. It has 247 hours water supply with full power backup. It is in amazing location. read more Contact Agent View Phone No. Share Feedback Crisil Silver Agent Sagar Home Developers Pvt. Ltd. 1000+ Buyers Served",New Friends Colony,2,60000000,Ready_to_move,Resale,Builder_Floor,120000
82,2066,4,4,Unfurnished,Hauz Khas,Hauz Khas,2,60000000,Almost_ready,New_Property,Builder_Floor,30000
83,1500,3,3,Semi-Furnished,New Friends Colony,New Friends Colony,2,60000000,Ready_to_move,New_Property,Builder_Floor,15459
84,2550,4,4,Unfurnished,New Friends Colony,New Friends Colony,1,60000000,Ready_to_move,Resale,Builder_Floor,23529
85,1600,3,4,Unfurnished,"DLF Chattarpur Farms, Chhattarpur",Chhattarpur,1,60000000,Almost_ready,New_Property,Apartment,4138
86,2700,4,3,Semi-Furnished,"APL Builder Floor, Greater Kailash 1",kailash,1,60000000,Ready_to_move,New_Property,Builder_Floor,22222
87,2300,5,6,Semi-Furnished,"Common Wealth Games Village, Commonwealth Games Village 2010",Common wealth games,3,58000000,Ready_to_move,Resale,Apartment,21311
88,3500,4,5,Semi-Furnished,New Friends Colony,New Friends Colony,2,58000000,Ready_to_move,New_Property,Builder_Floor,15459
89,2925,4,4,Unfurnished,Lajpat Nagar 3,Lajpat,2,57500000,Ready_to_move,New_Property,Builder_Floor,22000
90,2925,4,4,Unfurnished,Lajpat Nagar 3,Lajpat,2,57500000,Ready_to_move,New_Property,Builder_Floor,
91,2250,4,4,Semi-Furnished,"Geetanjali Enclave, Malviya Nagar",Malviya Nagar,2,57500000,Ready_to_move,New_Property,Builder_Floor,7200
